연번,구인신청일자,모집기간,사업장명,모집직종,고용형태,임금형태,임금,입사형태,요구경력,요구학력,전공계열,요구자격증,사업장주소,기업형태,담당기관,등록일,연락처
8548,2023.4.3,2023-04-03~2023-04-21,다성주식회사,전기·전자 분야 단순 종사원,시간제,시급,9620,무관,무관,무관,,    ,경기도 안산시 단원구 원시로 239-14  (원시동),중소,경기서부지사,2023.4.3,1588-1519
8549,2023.4.3,2023-04-03~2023-05-25,(주)로리에,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,무관,무관,무관,,    ,인천광역시 서구 백범로 810 (가좌동),개인,인천지사,2023.4.3,1588-1519
8550,2023.4.3,2023-04-03~2023-04-28,(사)한국선원장애인복지협회,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",계약직,시급,9620,무관,무관,무관,,    ,부산광역시 사상구 학감대로192번길 60 4층 한국선원장애인복지협회 (학장동),중소,부산지역본부,2023.4.10,1588-1519
8551,2023.4.3,2023-04-03~2023-04-30,이샘병원,세탁원,계약직,시급,9620,무관,무관,무관,,    ,부산광역시 부산진구 황령대로 12 (범천동),중소,부산지역본부,2023.4.4,1588-1519
8552,2023.4.3,2023-04-03~2023-04-17,두리에프앤비,제과·제빵원,시간제,시급,9620,무관,0년개월,무관,,    ,부산광역시 남구 유엔평화로10번길 8 지하1층(대연동),개인,부산지역본부,2023.4.3,1588-1519
8553,2023.4.3,2023-04-03~2023-05-31,케어링커뮤니티케어동래점,안마사,계약직,월급,1500000,무관,0년개월,무관,,    ,부산광역시 동래구 안남로 108 (안락동) 4층,중소,부산지역본부,2023.4.3,1588-1519
8554,2023.4.3,2023-04-03~2023-06-06,한국맥도날드유한회사,패스트푸드 준비원,상용직,시급,9620,무관,무관,무관,,    ,"서울특별시 종로구 종로 51 한국맥도날드 유한회사 (종로2가, 종로타워)",중소,대구지역본부,2023.4.3,1588-1519
8555,2023.4.3,2023-04-03~2023-06-06,버팀목중증장애인보호작업장,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,무관,0년개월,무관,,    ,대구광역시 달서구 성서4차첨단로 370 (대천동),개인,대구지역본부,2023.4.3,1588-1519
8556,2023.4.3,2023-04-03~2023-07-02,대교초등학교,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,시급,9620,무관,0년개월,무관,,    ,경상북도 칠곡군 석적읍 서중리7길 15 대교초등학교,"공사,공공",대구지역본부,2023.4.3,1588-1519
8557,2023.4.3,2023-04-03~2023-04-03,롯데카드(주),사무 보조원,계약직,월급,1280000,무관,무관,무관,,    ,서울특별시 종로구 새문안로 76 . (신문로1가),대기업,인천지사,2023.4.3,1588-1519
8558,2023.4.3,2023-04-03~2023-04-12,롯데지알에스 주식회사,사무 보조원,계약직,월급,2185500,무관,무관,무관,,    ,서울특별시 금천구 벚꽃로 104 1160 (독산동),중소,서울남부지사,2023.4.3,1588-1519
8559,2023.4.3,2023-04-03~2023-04-14,맥킨지 인코포레이티드,안마사,계약직,월급,1700000,무관,0년개월,무관,,    ,서울특별시 중구 을지로5길 26 센터원빌딩서관20층 (수하동),외국계,서울남부지사,2023.4.7,1588-1519
8560,2023.4.3,2023-04-03~2023-05-31,서울온수초등학교,건물 청소원(클린마스터),계약직,시급,11010,무관,무관,무관,,    ,서울특별시 구로구 부일로 893 (온수동),"공사,공공",서울남부지사,2023.4.3,1588-1519
8561,2023.4.3,2023-04-03~2023-04-17,성진수산(주),건물 경비원,상용직,월급,2170000,무관,무관,무관,,    ,부산광역시 서구 원양로 87 성진수산(주) (암남동),중소,부산지역본부,2023.4.3,1588-1519
8562,2023.4.3,2023-04-03~2023-05-31,(주)보승하이텍,자동차 부품 조립·검사원,상용직,시급,9620,무관,0년개월,무관,,    ,울산광역시 울주군 삼동면 암리3길 14-6 ,중소,울산지사,2023.4.3,1588-1519
8563,2023.4.3,2023-04-03~2023-04-30,한국맥도날드유한회사,매장 정리원(매장 보조원),상용직,시급,9620,무관,무관,무관,,    ,"서울특별시 종로구 종로 51 한국맥도날드 유한회사 (종로2가, 종로타워)",중소,제주지사,2023.4.10,1588-1519
8564,2023.4.3,2023-04-03~2023-05-31,제주신화월드 행복공작소(주),조경 식재원,상용직,월급,2098000,무관,0년개월,무관,,    ,제주특별자치도 서귀포시 안덕면 녹차분재로 217 녹차분재로 217,외국계,제주지사,2023.4.3,1588-1519
8565,2023.4.3,2023-04-03~2023-04-30,싱싱클린물수건,기타 기계 조작원,상용직,시급,9620,무관,0년개월,무관,,    ,제주특별자치도 서귀포시 토평공단로139번길 4 삼다산업(토평동),개인,제주지사,2023.4.4,1588-1519
8566,2023.4.3,2023-04-03~2023-04-30,봄봄제주동문점,음료 조리사,상용직,시급,9620,무관,0년개월,무관,,    ,제주특별자치도 제주시 동문로 97 1층(건입동),개인,제주지사,2023.4.10,1588-1519
8567,2023.4.3,2023-04-03~2023-04-18,쿠팡풀필먼트서비스유한회사,사무 보조원,계약직,월급,1080000,무관,무관,무관,,    ,서울특별시 송파구 송파대로 570 (신천동) 타워730 8층,대기업,대구직업능력개발원,2023.4.7,1588-1519
8568,2023.4.3,2023-04-03~2023-04-14,(주)현대그린푸드 현대엘리베이터 충주,단체 급식 보조원,계약직,시급,9620,무관,0년개월,무관,,    ,충청북도 충주시 충주산단1로 182 (용탄동) 현대엘리베이터충주 물류센터,중소,충북지사,2023.4.3,1588-1519
8569,2023.4.3,2023-04-03~2023-06-16,(주)윈플러스마트중부,매장 정리원(매장 보조원),상용직,시급,9620,무관,0년개월,무관,,    ,충청북도 충주시 금봉대로 96  (호암동),중소,충북지사,2023.4.3,1588-1519
8570,2023.4.1,2023-04-01~2023-06-30,(주)아성기업,기타 기계 조작원,시간제,시급,9620,무관,0년개월,무관,,    ,충청남도 당진시 석문면 대호만로 1868 (주)아성기업,중소,충남지사,2023.4.7,1588-1519
8571,2023.4.1,2023-04-06~2023-04-21,(주)에니아소프트,종이제품 생산기계 조작원,상용직,시급,6030,무관,무관,무관,,    ,"충청북도 청주시 흥덕구 공단로 134 1007호 (송정동,세중테크노밸리)",중소,충북지사,2016.2.16,1588-1519
8572,2023.4.1,2023-04-01~2023-04-30,그린가드(주),기타 기계 조작원,상용직,시급,9620,무관,0년개월,무관,,    ,경기도 안성시 양성면 범티길 39-57 그린가드 주식회사,중소,경기지역본부,2023.4.5,1588-1519
8573,2023.4.1,2023-04-01~2023-04-30,주식회사 제주참농,기타 기계 조작원,상용직,시급,9620,무관,무관,무관,,    ,제주특별자치도 제주시 애월읍 광령평화4길 14 (광령리),중소,제주지사,2023.4.7,1588-1519
8574,2023.3.31,2023-03-31~2023-06-22,두리두리사업단,방역원,상용직,시급,9160,무관,무관,무관,,    ,충청남도 천안시 서북구 백석공단1로 10 SB116호,중소,충남지사,2023.3.31,1588-1519
8575,2023.3.31,2023-03-31~2023-05-05,대성사회복지재단,환경 미화원,계약직,시급,9620,무관,0년개월,무관,,    ,"경상북도 안동시 임하면 진사리길 14 (고곡리), 대성사회복지재단",중소,경북지사,2023.3.31,1588-1519
8576,2023.3.31,2023-03-31~2023-03-31,(주)일진코스메틱,기타 서비스 단순종사원,상용직,월급,2010580,무관,0년개월,무관,,    ,"경기도 시흥시 공단1대로 86 (정왕동), 시화공단 1다 401호",중소,경기서부지사,2023.4.3,1588-1519
8577,2023.3.31,2023-03-31~2023-05-31,케이비씨아이,기타 서비스 단순종사원,상용직,시급,9620,무관,무관,무관,,    ,서울특별시 금천구 가산디지털2로 156 1층 (가산동)  (가산동),중소,경기서부지사,2023.3.31,1588-1519
8578,2023.3.31,2023-03-31~2023-04-30,세준푸드 농업회사법인(주),식품 분야 단순 종사원,상용직,월급,2010580,무관,무관,무관,언론·방송·매체학,    ,경기도 광주시 곤지암읍 가마을길 63 세준푸드 농업회사법인(주),중소,경기동부지사,2023.3.31,1588-1519
8579,2023.3.31,2023-03-31~2023-04-21,(주)풀무원투게더,생산·품질 사무원 및 관리원(그 외 분야),상용직,시급,11500,무관,0년개월,무관,,    ,경기도 용인시 처인구 원삼면 맹리로2번길 31 풀무원양지물류센터 내 (주)풀무원투게더,중소,경기동부지사,2023.3.31,1588-1519
8580,2023.3.31,2023-03-31~2023-04-11,주식회사 우리도,기타 기계 조작원,상용직,시급,9620,무관,0년개월,무관,,    ,경기도 용인시 기흥구 기흥로 58 기흥ICT벨리SK V1 B동1901호,중소,경기동부지사,2023.3.31,1588-1519
8581,2023.3.31,2023-03-31~2023-04-20,서울의료원,의료 보조원(간호조무사 제외),계약직,월급,1200000,무관,무관,무관,,    ,서울특별시 중랑구 신내로 156 신내동 서울특별시 서울의료원 (신내동),중소,서울북부지사,2023.4.6,1588-1519
8582,2023.3.31,2023-03-31~2023-04-10,연세대학교 의과대학 강남세브란스병원,병원행정 사무원(원무),계약직,월급,1200000,무관,0년개월,무관,,    ,서울특별시 강남구 언주로 211 (도곡동),대기업,서울동부지사,2023.3.31,1588-1519
8583,2023.3.31,2023-03-31~2023-04-07,(주)엠엔에프,주방 보조원(일반 음식점),상용직,월급,1600000,무관,0년개월,무관,,    ,서울특별시 영등포구 여의대방로67길 18 (여의도동) 스타빌딩 2층,개인,서울동부지사,2023.4.7,1588-1519
8584,2023.3.31,2023-03-31~2023-04-18,주식회사링키지랩,음료 조리사,계약직,연봉,13200000,무관,무관,무관,,    ,"서울특별시 성동구 성수일로6길 33 3층 (성수동2가, 아연디지털타워)",중소,경기동부지사,2023.4.3,1588-1519
8585,2023.3.31,2023-03-31~2023-04-30,삼성엔지니어링(주),사무 보조원,계약직,연봉,31000000,무관,0년개월,무관,,    ,서울특별시 강동구 상일로6길 26 삼성엔지니어링 글로벌엔지니어링센터,중소,서울동부지사,2023.3.31,1588-1519
8586,2023.3.31,2023-03-31~2023-04-30,법무법인화우,우편물 집배원,계약직,월급,1870000,무관,무관,무관,,    ,서울특별시 강남구 영동대로 517 아셈타워 (삼성동),중소,서울동부지사,2023.3.31,1588-1519
8587,2023.3.31,2023-03-31~2023-04-07,콘센트릭스서비스코리아 유한회사,고객 상담원(학원·학습지·유학·이민),상용직,월급,1501340,무관,무관,고졸,,    ,서울특별시 강남구 테헤란로 509  (삼성동),중소,서울동부지사,2023.3.31,1588-1519
8588,2023.3.31,2023-03-31~2023-04-21,(주)대균,기계·금속 분야 단순 종사원,상용직,시급,9620,무관,무관,무관,,    ,경상남도 창원시 마산회원구 자유무역3길 142 (양덕동),중소,경남동부지사,2023.3.31,1588-1519
8589,2023.3.31,2023-03-31~2023-04-07,주식회사하누리,세차원 및 운송장비 청소원,상용직,월급,2170000,무관,무관,무관,,    ,"경기도 평택시 진위면 진위2산단로 140 1030호, 1031 (더퍼스트타워 평택)",중소,경남동부지사,2023.3.31,1588-1519
8590,2023.3.31,2023-03-31~2023-04-01,참진주로컬푸드농업회사법인,기타 식품가공 종사원,상용직,시급,9620,무관,무관,무관,,    ,경상남도 진주시 판문오동길 124  (판문동),중소,경남동부지사,2023.4.4,1588-1519
8591,2023.3.31,2023-03-31~2023-04-07,평화초등학교,건물 경비원,상용직,월급,1100000,무관,0년개월,무관,,    ,전라북도 전주시 완산구 평화동2가 389-2번지,"공사,공공",전북지사,2023.3.31,1588-1519
8592,2023.3.31,2023-03-31~2023-05-01,주식회사 윤창산업,세탁원,시간제,시급,9620,무관,무관,무관,,    ,전라북도 남원시 시묘길 56-14 (노암동) (노암동),중소,전북지사,2023.4.6,1588-1519
8593,2023.3.31,2023-03-31~2023-04-05,한국폴리텍대학신기술교육원,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,월급,1145290,무관,무관,무관,,    ,전라북도 전주시 덕진구 유상로 20 한국폴리텍대학 신기술교육원,"공사,공공",전북지사,2023.3.31,1588-1519
8594,2023.3.31,2023-03-31~2023-05-02,(주)청소반장,환경 미화원,계약직,월급,1257020,무관,무관,무관,,    ,강원도 원주시 일산로 55 1층 청소반장  (원동),중소,강원지사,2023.4.3,1588-1519
8595,2023.3.31,2023-03-31~2023-04-27,(주) 조현시스템,아파트·빌라 경비원,상용직,시급,9620,무관,무관,무관,,    ,"경기도 성남시 분당구 매화로 42 5층 (야탑동, 충무빌딩)",중소,강원지사,2023.4.5,1588-1519
8596,2023.3.31,2023-03-31~2023-05-01,다승써플라이,세탁 기계 조작원,상용직,시급,9620,무관,0년개월,무관,,    ,강원도 고성군 토성면 고성대로 688 다승써플라이,중소,강원지사,2023.4.6,1588-1519
8597,2023.3.31,2023-03-31~2023-05-31,동행,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",시간제,시급,9620,무관,0년개월,무관,,    ,강원특별자치도 원주시 입춘로 110 (반곡동) 2층 208호 (반곡동),중소,강원지사,2023.3.31,1588-1519
8598,2023.3.31,2023-03-31~2023-04-10,(주)네패스루아,악기 제조원 및 조율사,상용직,월급,1010100,무관,0년개월,무관,,    ,충청북도 청주시 청원구 오창읍 과학산업2로 587-32 (오창읍),중소,충북지사,2023.3.31,1588-1519
8599,2023.3.31,2023-03-31~2023-04-30,사단법인 대한문화체육교육협회 장애인자립지원단,우편물 집배원,상용직,시급,9620,무관,무관,무관,,    ,대전광역시 대덕구 대화로106번길 140  (대화동),중소,대전지역본부,2023.4.3,1588-1519
8600,2023.3.31,2023-03-31~2023-04-21,교정기술원(주),총무 및 일반 사무원,상용직,시급,9620,무관,0년개월,무관,,    ,경기도 화성시 동탄첨단산업2로 72 .,중소,경기지역본부,2023.4.3,1588-1519
8601,2023.3.31,2023-03-31~2023-04-21,엠케이피(주),반도체공학 기술자 및 연구원,상용직,시급,9620,무관,0년개월,무관,,    ,경기도 화성시 삼성1로1길 40 엠케이피,중소,경기지역본부,2023.4.3,1588-1519
8602,2023.3.31,2023-03-31~2023-04-16,사)동반성장산업협회 아이에너지사업단,LED 부품·제품 조립·검사원,상용직,시급,9620,무관,무관,무관,,    ,경기도 화성시 팔탄면 서근내길 81-20 .,중소,경기지역본부,2023.3.31,1588-1519
8603,2023.3.31,2023-03-31~2023-04-21,(주)효성조명,생산·품질 사무원 및 관리원(전기·전자·컴퓨터),상용직,시급,9620,무관,0년개월,무관,,    ,경기도 화성시 정남면 괘랑2길17번길 45-12 (주)효성조명,중소,경기지역본부,2023.4.3,1588-1519
8604,2023.3.31,2023-03-31~2023-04-28,세탁풍경,세탁원,상용직,시급,9620,무관,0년개월,무관,,    ,경기도 평택시 팽성읍 두리길 71 팽성읍,"협회,단체",경기지역본부,2023.3.31,1588-1519
8605,2023.3.31,2023-03-31~2023-04-14,대영ENC,기타 기계 조작원,상용직,시급,9620,무관,무관,무관,,    ,강원도 동해시 지양길 168 (지흥동) .,중소,강원지사,2023.4.3,1588-1519
8606,2023.3.31,2023-03-31~2023-04-17,기초과학연구원,공공행정 사무원,계약직,월급,2679000,무관,무관,무관,,    ,대전광역시 유성구 엑스포로 55 (도룡동),"공사,공공",대전지역본부,2023.3.31,1588-1519
8607,2023.3.31,2023-03-31~2023-04-07,(재)인천광역시부평구문화재단,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,월급,2290000,무관,무관,무관,,    ,인천광역시 부평구 아트센터로 166 166 (십정동),중소,인천지사,2023.4.3,1588-1519
8608,2023.3.31,2023-03-31~2023-05-17,주식회사 유신에코,플라스틱제품 조립원 및 검사원,상용직,시급,9620,무관,0년개월,무관,,    ,인천광역시 서구 도담로 7 (오류동),중소,인천지사,2023.4.3,1588-1519
8609,2023.3.31,2023-03-31~2023-03-31,장애인생활신문,신문·방송 기자,상용직,월급,1550000,무관,무관,무관,,    ,인천광역시 남동구 예술로192번길 40 5층 (구월동),중소,인천지사,2023.3.31,1588-1519
8610,2023.3.31,2023-03-31~2023-06-23,한국부동산원,"사무 보조원(국가 및 자치단체, 공공기관)",계약직,시급,9620,무관,무관,무관,,    ,대구광역시 동구 이노밸리로 291 1층,중소,광주지역본부,2023.3.31,1588-1519
8611,2023.3.31,2023-03-31~2023-06-25,(주)더휴,음료 조리사,상용직,시급,9620,무관,무관,무관,,    ,부산광역시 사상구 낙동대로 1356 (주)더휴 (삼락동),중소,대구지역본부,2023.3.31,1588-1519
8612,2023.3.31,2023-03-31~2023-06-16,대구해올중고등학교,환경 미화원,계약직,시급,9620,무관,0년개월,무관,,    ,대구광역시 달서구 야외음악당로 42 (성당동),"공사,공공",대구지역본부,2023.3.31,1588-1519
8613,2023.3.31,2023-03-31~2023-06-29,대영기사반점,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,무관,0년개월,무관,,    ,대구광역시 남구 중앙대로 239 (대명동),개인,대구지역본부,2023.3.31,1588-1519
8614,2023.3.31,2023-03-31~2023-04-07,롯데하이마트(주),건물 청소원(클린마스터),계약직,월급,1618000,무관,무관,무관,,    ,서울특별시 강남구 삼성로 156 하이마트사옥 (대치동),중소,인천지사,2023.4.3,1588-1519
8615,2023.3.31,2023-03-31~2023-04-07,세익여객자동차(주),"노선버스 운전원(시내, 마을, 시외, 고속)",상용직,일급,90544,무관,0년개월,무관,,    ,"부산광역시 기장군 기장읍 기장대로 313 (청강리), 동부산공영차고지3층",중소,부산지역본부,2023.4.5,1588-1519
8616,2023.3.31,2023-03-31~2023-04-14,가온안마지압원,안마사,상용직,시급,9620,무관,0년개월,무관,,    ,부산광역시 수영구 수영로 691-10 2층(수영동),개인,부산지역본부,2023.4.3,1588-1519
8617,2023.3.31,2023-03-31~2023-04-14,주식회사 GC케어,웹 디자이너,계약직,월급,1300000,무관,무관,무관,시각디자인,    ,서울특별시 영등포구 여의대로 108 2동 32층(여의도동),중소,서울남부지사,2023.3.31,1588-1519
8618,2023.3.31,2023-03-31~2023-04-14,서울양강초등학교 비정규직,환경 미화원,시간제,시급,12030,무관,0년개월,무관,,    ,서울특별시 양천구 오목로 101 (신월동),"공사,공공",서울남부지사,2023.4.4,1588-1519
8619,2023.3.31,2023-03-31~2023-04-28,주식회사 코페아 카페숨,음료 조리사,상용직,시급,9620,무관,0년개월,무관,,    ,경상남도 양산시 물금읍 금오로 20 1층 의생명과학도서관,"협회,단체",울산지사,2023.4.4,1588-1519
8620,2023.3.31,2023-03-31~2023-04-03,박종진베이커리,제과·제빵원,상용직,시급,9620,신입,무관,무관,,    ,경상남도 창원시 성산구 창원대로 1306 상가B동 박종진베이커리 (성주동),중소,부산직업능력개발원,2023.3.31,1588-1519
8621,2023.3.31,2023-03-31~2023-04-20,엘브이엠에치코스메틱스(유),사무 보조원,계약직,월급,1050000,무관,0년개월,무관,,    ,서울특별시 종로구 종로3길 17 (청진동) 광화문D타워 11층(03155),중소,서울지역본부,2023.3.31,1588-1519
8622,2023.3.31,2023-03-31~2023-04-28,주식회사 탑런토탈솔루션,전기 부품·제품 생산기계 조작원,상용직,시급,9620,무관,0년개월,무관,,    ,경상북도 구미시 옥계2공단로 46-14 (황상동),중소,경북지사,2023.3.31,1588-1519
8623,2023.3.31,2023-03-31~2023-05-31,전라남도목포교육지원청,교사 보조원,계약직,월급,1100000,무관,0년개월,무관,,    ,전라남도 목포시 교육로 5 (상동),"공사,공공",전남지사,2023.4.7,1588-1519
8624,2023.3.31,2023-03-31~2023-04-30,한전KDN(주),직업 운동선수,계약직,월급,2011000,무관,무관,무관,,    ,전라남도 나주시 빛가람로 661 한전KDN(주) (빛가람동),"공사,공공",전남지사,2023.4.3,1588-1519
8625,2023.3.31,2023-03-31~2023-05-30,광양햇살학교,건물 청소원(클린마스터),계약직,시급,9620,무관,0년개월,무관,,    ,전라남도 광양시 옥룡면 옥동길 14 광양햇살학교,중소,전남지사,2023.3.31,1588-1519
8626,2023.3.31,2023-03-31~2023-04-30,두리다담사업단,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,무관,0년개월,무관,,    ,충청남도 천안시 동남구 수신면 발산1길 281 .,중소,충남지사,2023.3.31,1588-1519
8627,2023.3.30,2023-03-30~2023-06-29,인성테크,플라스틱 사출성형기 조작원,상용직,시급,9620,무관,무관,무관,,    ,충청남도 당진시 순성면 여술골길 53 인성테크,중소,충남지사,2023.3.30,1588-1519
8628,2023.3.30,2023-03-30~2023-05-01,예산꿈빛학교,음료 조리사,상용직,시급,9620,무관,0년개월,무관,,    ,충청남도 예산군 봉산면 하평1길 38 예산꿈빛학교,"공사,공공",충남지사,2023.3.30,1588-1519
8629,2023.3.30,2023-03-30~2023-04-30,나은필병원,의료 보조원(간호조무사 제외),상용직,시급,9620,무관,0년개월,무관,,    ,충청남도 천안시 동남구 만남로 64 (신부동) 나은 필 병원,개인,충남지사,2023.3.30,1588-1519
8630,2023.3.30,2023-03-30~2023-04-30,가톨릭대학교 인천성모병원,기타 서비스 단순종사원,계약직,시급,9620,무관,무관,무관,,    ,인천광역시 부평구 동수로 56  (부평동),중소,경기서부지사,2023.3.30,1588-1519
8631,2023.3.30,2023-03-30~2023-05-31,오스템임플란트(주),"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",계약직,시급,10000,무관,무관,무관,,    ,서울특별시 강서구 마곡중앙12로 3 (마곡동) 오스템임플란트,대기업,경기서부지사,2023.3.30,1588-1519
8632,2023.3.30,2023-03-30~2023-05-31,(주)에프엔제이,기타 서비스 단순종사원,계약직,시급,9620,무관,무관,무관,,    ,경기도 시흥시 은계중앙로306번길 55 (대야동) 407호,중소,경기서부지사,2023.4.3,1588-1519
8633,2023.3.30,2023-03-30~2023-04-14,(주)베스트웨이인터내셔널,기타 전자 부품·제품 조립·검사원,상용직,시급,9620,무관,무관,무관,,    ,경기도 부천시 도약로 287 501호 (도당동),중소,경기서부지사,2023.3.30,1588-1519
8634,2023.3.30,2023-03-30~2023-04-14,사)한국장애인정치포럼 아이티사업단,통신기기 부품·제품 조립원(핸드폰),계약직,시급,9620,무관,0년개월,무관,,    ,경기도 성남시 분당구 판교로 700 (야탑동) Dehd 407-1호,"협회,단체",경기동부지사,2023.3.30,1588-1519
8635,2023.3.30,2023-03-30~2023-04-30,(주)쥬비스다이어트,총무 및 일반 사무원,계약직,월급,1080000,무관,무관,무관,,    ,서울특별시 강남구 삼성로 434 3층 14층 15층,중소,서울동부지사,2023.3.30,1588-1519
8636,2023.3.30,2023-03-30~2023-04-05,(주)엠엔에프,음식서비스 관리자,상용직,월급,1600000,무관,0년개월,무관,,    ,서울특별시 영등포구 여의대방로67길 18 (여의도동) 스타빌딩 2층,개인,서울동부지사,2023.4.5,1588-1519
8637,2023.3.30,2023-03-30~2023-04-14,(주)정희씨앤씨,사무 보조원,상용직,시급,9620,무관,무관,무관,,    ,경기도 하남시 조정대로 150 아이테코 오렌지존 10층 1022호 (덕풍동),대기업,경기동부지사,2023.3.30,1588-1519
8638,2023.3.30,2023-03-30~2023-04-03,계원예술고등학교,환경 미화원,계약직,연봉,25000000,무관,무관,무관,,    ,경기도 성남시 분당구 불정로 100  (정자동),중소,경기동부지사,2023.3.30,1588-1519
8639,2023.3.30,2023-03-30~2023-04-30,스타크리닝,세탁 기계 조작원,상용직,시급,9620,무관,무관,무관,,    ,경기도 하남시 초일로168번길 11 (초일동),중소,경기동부지사,2023.3.30,1588-1519
8640,2023.3.30,2023-03-30~2023-04-30,(주)우린,물류 사무원(물류 관리사),상용직,월급,2100000,무관,0년개월,무관,,    ,경기도 광주시 도척면 도척로 401-82 주식회사 우린,중소,경기동부지사,2023.3.30,1588-1519
8641,2023.3.30,2023-03-30~2023-04-30,(주)동구밭,기타 기계 조작원,상용직,월급,1005290,무관,무관,무관,,    ,"경기도 하남시 미사강변서로 25 FB329호, FB330호, FB331호, FB332호, (풍산동)",중소,경기동부지사,2023.3.30,1588-1519
8642,2023.3.30,2023-03-30~2023-04-06,선종운수(주),택시 운전원,상용직,월급,1270000,무관,0년개월,무관,,    ,서울특별시 성북구 화랑로 265 (장위동),중소,서울동부지사,2023.4.6,1588-1519
8643,2023.3.30,2023-03-30~2023-04-10,상일여자고등학교,건물 청소원(클린마스터),계약직,월급,2100000,무관,0년개월,무관,,    ,서울특별시 강동구 천호대로219길 61 (상일동),중소,서울동부지사,2023.4.5,1588-1519
8644,2023.3.30,2023-03-30~2023-05-29,주식회사 에스티에이테스팅컨설팅,IT 테스터 및 IT QA 전문가,상용직,시급,9620,무관,무관,초대졸,응용 소프트웨어 공학,    ,"서울특별시 강남구 선릉로100길 54 (삼성동, 삼성빌딩 4층)",중소,서울동부지사,2023.3.30,1588-1519
8645,2023.3.30,2023-03-30~2023-04-14,메가스터디교육(주),매장 정리원(매장 보조원),계약직,월급,1000000,무관,무관,무관,,    ,"서울특별시 서초구 효령로 321 (서초동, 덕원빌딩) (서초동)",대기업,서울동부지사,2023.3.30,1588-1519
8646,2023.3.30,2023-03-30~2023-03-31,아이갓에브리씽 전주시립도서관점,음료 조리사,시간제,시급,9620,무관,0년개월,무관,,    ,전라북도 전주시 덕진구 기린대로 577 302호,"협회,단체",전북지사,2023.3.30,1588-1519
8647,2023.3.30,2023-03-30~2023-04-30,의료법인창아의료재단,건물 청소원(클린마스터),상용직,월급,1619600,무관,무관,무관,,    ,경상남도 창원시 의창구 창원천로94번길 82-18 의료법인창아푸른요양병원(대원동),중소,경남동부지사,2023.3.30,1588-1519
8648,2023.3.30,2023-03-30~2023-04-03,미담,기타 식품가공 종사원,상용직,시급,9620,무관,0년개월,무관,,    ,경상남도 김해시 한림면 김해대로1031번길 45 45,개인,경남동부지사,2023.3.30,1588-1519
8649,2023.3.30,2023-03-30~2023-04-05,무주군청,공공행정 사무원,계약직,월급,2500000,무관,0년개월,고졸,,    ,"전라북도 무주군 무주읍 주계로 97 (읍내리), 무주군청",중소,전북지사,2023.3.30,1588-1519
8650,2023.3.30,2023-03-30~2023-06-16,에이.엔.디전자저울주식회사,전자 부품·제품 생산기계 조작원,상용직,월급,2148000,무관,무관,무관,,    ,충청북도 진천군 진천읍 씨제이로 101 에이.엔 디 전자저울 주식회사,중소,충북지사,2023.3.30,1588-1519
8651,2023.3.30,2023-03-30~2023-05-30,(주)하랑커뮤니티,식품 분야 단순 종사원,상용직,월급,1005290,무관,0년개월,무관,,    ,대전광역시 유성구 복용북로33번길 16-20 (복용동) (주)하랑커뮤니티,중소,대전지역본부,2023.3.30,1588-1519
8652,2023.3.30,2023-03-30~2023-04-30,금성에이스산업(주),기타 기계 조작원,상용직,시급,9620,신입,무관,무관,,    ,경기도 화성시 향남읍 갈천웃말길 13-7 금성에이스산업(주),중소,경기지역본부,2023.3.30,1588-1519
8653,2023.3.30,2023-03-30~2023-04-14,에프엠파트너주식회사,건물 경비원,상용직,월급,2900000,무관,무관,무관,,    ,서울특별시 강남구 도곡로2길 10  (도곡동),중소,경기지역본부,2023.3.30,1588-1519
8654,2023.3.30,2023-03-30~2023-04-28,구례역 제과점,음료 조리사,시간제,시급,9620,무관,0년개월,무관,,    ,전라남도 구례군 구례읍 섬진강로 23 -,개인,광주지역본부,2023.4.6,1588-1519
8655,2023.3.30,2023-03-30~2023-03-30,가톨릭대학교 인천성모병원,의료 보조원(간호조무사 제외),계약직,시급,9620,무관,무관,무관,,    ,인천광역시 부평구 동수로 56  (부평동),중소,인천지사,2023.3.30,1588-1519
8656,2023.3.30,2023-03-30~2023-05-31,(주)듀델코리아,건물 경비원,계약직,시급,9620,무관,무관,무관,,    ,"부산광역시 해운대구 APEC로 17 4204호 (우동, 센텀리더스마크)",중소,부산지역본부,2023.3.30,1588-1519
8657,2023.3.30,2023-03-30~2023-06-29,(주)한중엔시에스,자동차 부품 조립·검사원,상용직,시급,9620,경력,3년개월,무관,,    ,경상북도 영천시 영천산단로 379 (주)한중엔시에스 (채신동),중소,대구지역본부,2023.3.30,1588-1519
